Date,ticker,side,qty,price,notional,fees,slippage
2017-05-19,PEP,1,567.7596287869449,88.0267105102539,49978.01248263761,0.0,0.0
2017-05-22,KO,1,1474.5251459118635,34.10219192504883,50284.539524196996,0.0,0.0
2017-05-22,PEP,-1,-567.7596287869449,88.8086929321289,-50421.990532199285,0.0,0.0
2017-05-23,PEP,1,568.0094111227261,89.0796890258789,50598.10170658504,0.0,0.0
2017-05-23,KO,-1,-1475.5323942919933,34.2642936706543,-50558.075278584525,0.0,0.0
2017-05-24,PEP,-1,-568.0094111227261,89.86170959472656,-51042.29674938206,0.0,0.0
2017-05-24,KO,1,1475.5323942919933,34.75829315185547,51286.987515860295,0.0,0.0
2017-05-25,KO,-1,-1459.2450228391128,35.0516242980957,-51148.90829942267,0.0,0.0
2017-05-25,PEP,1,561.2951790331722,90.99988555908205,51077.79705688314,0.0,0.0
2017-05-26,KO,1,1459.2450228391128,35.03618240356445,51126.374791684735,0.0,0.0
2017-05-26,PEP,-1,-561.2951790331722,91.29413604736328,-51242.95843738355,0.0,0.0
2017-05-30,KO,-1,-1426.4674177372265,35.06706619262695,-50022.02735941696,0.0,0.0
2017-05-30,PEP,1,549.4512404363113,91.37152862548828,50204.19974383646,0.0,0.0
2017-05-31,PEP,-1,-549.4512404363113,91.11038970947266,-50060.71664250548,0.0,0.0
2017-05-31,KO,1,1426.4674177372265,35.09794616699219,50066.076636709535,0.0,0.0
2017-06-01,KO,-1,-1425.8392682565723,35.34494400024414,-50396.20908987763,0.0,0.0
2017-06-01,PEP,1,547.2164114156277,91.39102172851562,50010.666945885976,0.0,0.0
2017-06-02,KO,1,1425.8392682565723,35.42213439941406,50506.270192146505,0.0,0.0
2017-06-02,PEP,-1,-547.2164114156277,91.73406219482422,-50198.38431882971,0.0,0.0
2017-06-05,PEP,1,547.0996937590764,91.89777374267578,50277.243871758816,0.0,0.0
2017-06-05,KO,-1,-1414.629487025206,35.49932861328125,-50218.39702594527,0.0,0.0
2017-06-06,PEP,-1,-547.0996937590764,91.75743103027344,-50200.462416782175,0.0,0.0
2017-06-06,KO,1,1414.629487025206,35.49160385131836,50207.469349892315,0.0,0.0
2017-06-07,PEP,1,544.0828212009324,91.25070190429688,49647.939328655135,0.0,0.0
2017-06-07,KO,-1,-1408.4773417741105,35.128814697265625,-49478.13954447999,0.0,0.0
2017-06-08,PEP,-1,-544.0828212009324,90.34637451171876,-49155.91032961195,0.0,0.0
2017-06-08,KO,1,1408.4773417741105,34.83549880981445,49065.01076302265,0.0,0.0
2017-06-09,KO,-1,-1423.3329655694852,34.982147216796875,-49791.24334007181,0.0,0.0
2017-06-09,PEP,1,547.9409906615257,90.38536834716795,49525.84827345412,0.0,0.0
2017-06-12,KO,1,1423.3329655694852,34.9898796081543,49802.24910759351,0.0,0.0
2017-06-12,PEP,-1,-547.9409906615257,90.6114501953125,-49649.72778529703,0.0,0.0
2017-06-13,KO,-1,-1429.300485477124,35.044342041015625,-50088.895092450024,0.0,0.0
2017-06-13,PEP,1,553.186880955679,90.6815948486328,50163.86861440175,0.0,0.0
2017-06-14,PEP,-1,-553.186880955679,91.5001983642578,-50616.709339949695,0.0,0.0
2017-06-14,KO,1,1429.300485477124,35.254478454589844,50389.24317038807,0.0,0.0
2017-06-15,KO,-1,-1426.763839408952,35.21556091308594,-50244.28889529431,0.0,0.0
2017-06-15,PEP,1,551.3798040656521,91.3754425048828,50382.57358475454,0.0,0.0
2017-06-16,PEP,-1,-551.3798040656521,91.10256958007812,-50232.11696494092,0.0,0.0
2017-06-16,KO,1,1426.763839408952,35.262264251708984,50310.92353002135,0.0,0.0
2017-06-19,KO,-1,-1419.8268806055062,35.31672286987305,-50143.632465540984,0.0,0.0
2017-06-19,PEP,1,547.1929725246274,91.43779754638672,50034.12024051243,0.0,0.0
2017-06-20,PEP,-1,-547.1929725246274,91.95233154296876,-50315.669627567135,0.0,0.0
2017-06-20,KO,1,1419.8268806055062,35.49573516845703,50397.79893902951,0.0,0.0
2017-06-21,KO,-1,-1415.759898907623,35.19221115112305,-49823.72130164969,0.0,0.0
2017-06-21,PEP,1,546.8198200490866,91.53914642333984,50055.41957465768,0.0,0.0
2017-06-22,KO,1,1415.759898907623,35.07547378540039,49658.449220555434,0.0,0.0
2017-06-22,PEP,-1,-546.8198200490866,90.54907989501952,-49514.03157380494,0.0,0.0
2017-06-23,KO,-1,-1420.768924842178,35.21556091308594,-50033.174616199336,0.0,0.0
2017-06-23,PEP,1,546.2144006539637,91.1805648803711,49804.13759742175,0.0,0.0
