Date,spread,z,side,entry_flag,exit_flag,w_x,w_y,x,y
2019-06-25,-15.641711506901245,-1.3290194407298523,1,1,0,-1.0,1.0,43.05435943603515,110.98040008544922
2019-06-26,-15.311862377395855,-0.9769723569455717,0,0,1,-0.0,0.0,42.522010803222656,109.74462127685548
2019-06-27,-15.736555492104515,-1.251985401153982,1,1,0,-1.0,1.0,42.488739013671875,109.22207641601562
2019-06-28,-15.809535394445561,-1.2256325773092298,0,0,1,-0.0,0.0,42.35563659667969,108.75764465332033
2019-07-01,-16.859351008142767,-1.9816483822776578,1,1,0,-1.0,1.0,42.92127990722656,109.37137603759766
2019-07-02,-17.324506793862113,-2.2729715278113845,0,0,1,-0.0,0.0,43.23736572265625,109.83582305908205
2019-07-03,-16.324166535954618,-1.4052703469047108,1,1,0,-1.0,1.0,43.33717727661133,111.12970733642578
2019-07-05,-17.153192431990192,-2.0016050263392393,0,0,1,-0.0,0.0,43.34550476074219,110.3251724243164
2019-07-08,-17.265594764791345,-1.9004284701025136,1,1,0,-1.0,1.0,43.254005432128906,109.94367218017578
2019-07-09,-16.942719913998815,-1.4979320120570436,0,0,1,-0.0,0.0,42.9129638671875,109.2635498046875
2019-07-10,-15.290857827965581,-0.03870851848949979,1,1,0,-1.0,1.0,43.104270935058594,111.47804260253906
2019-07-11,-15.878820191171855,-0.5100619462877248,0,0,1,-0.0,0.0,43.28726959228515,111.42827606201172
2019-07-12,-16.961986074266633,-1.4851573691658895,1,1,0,-1.0,1.0,43.353816986083984,110.54082489013672
2019-07-15,-16.264934699794424,-0.738810377454729,0,0,1,-0.0,0.0,43.36214447021485,111.26236724853516
2019-07-16,-16.579615095355024,-0.9993500484652089,1,1,0,-1.0,1.0,43.37044525146485,110.97209930419922
2019-07-17,-17.523489500518792,-1.7781777872359097,0,0,1,-0.0,0.0,43.40373229980469,110.1261215209961
2019-07-18,-17.073570627789636,-1.251337338492421,1,1,0,-1.0,1.0,43.278953552246094,110.20906829833984
2019-07-19,-17.821938051018606,-1.7747125801817654,0,0,1,-0.0,0.0,42.746604919433594,107.89507293701172
2019-07-22,-17.24845493852466,-1.186528141994331,1,1,0,-1.0,1.0,42.60519027709961,108.05265808105467
2019-07-23,-24.47501523755878,-4.387572992564609,0,0,1,-0.0,0.0,45.19211196899414,108.43418884277344
2019-07-24,-24.39848876610327,-3.321901902356058,1,1,0,-1.0,1.0,44.73461151123047,107.16521453857422
2019-07-25,-22.844064453884997,-2.3114700142241116,0,0,1,-0.0,0.0,44.14402770996094,106.98274230957033
2019-07-26,-23.685518115619587,-2.2994438493632403,1,1,0,-1.0,1.0,45.05902099609375,108.83226776123048
2019-07-29,-22.988052224411376,-1.8523407229563276,0,0,1,-0.0,0.0,44.9092903137207,109.0893783569336
2019-07-30,-23.198392898090418,-1.7527073526393895,1,1,0,-1.0,1.0,44.68470764160156,108.21854400634766
2019-07-31,-22.746352240375117,-1.4884287748438658,0,0,1,-0.0,0.0,43.77803421020508,106.00407409667967
2019-08-01,-21.83427466831698,-1.1232009700909433,1,1,0,-1.0,1.0,43.278953552246094,105.4483642578125
2019-08-02,-21.92123184458646,-1.0753900401937053,0,0,1,-0.0,0.0,43.52849578857422,106.09530639648438
2019-08-05,-23.177178574980417,-1.3630106603788603,1,1,0,-1.0,1.0,42.962867736816406,103.17585754394533
2019-08-06,-22.993639551146813,-1.217895905385219,0,0,1,-0.0,0.0,43.47858047485352,104.8760986328125
2019-08-07,-24.116698814724174,-1.4434467853359272,1,1,0,-1.0,1.0,44.23552322387695,105.97919464111328
2019-08-08,-23.962679520798147,-1.3039774509741333,0,0,1,-0.0,0.0,44.65974807739258,107.38085174560548
2019-08-09,-24.023732242121397,-1.2344424708012738,1,1,0,-1.0,1.0,44.43516159057617,106.65929412841795
2019-08-12,-23.692880474618207,-1.0650894137601474,0,0,1,-0.0,0.0,44.25216293334961,106.4519500732422
2019-08-13,-23.11640031097039,-0.8364743333992107,1,1,0,-1.0,1.0,44.501712799072266,107.7623519897461
2019-08-14,-22.54056075619002,-0.6186632102415099,0,0,1,-0.0,0.0,44.07749557495117,107.090576171875
2019-08-15,-23.366276393451685,-0.8081360922316565,1,1,0,-1.0,1.0,44.809478759765625,108.41761016845705
2019-08-16,-23.824767874633352,-0.885897346219647,0,0,1,-0.0,0.0,45.25865173339844,109.2801284790039
2019-08-19,-23.83793049095931,-0.8315247703121335,1,1,0,-1.0,1.0,45.49156951904297,109.95197296142578
2019-08-20,-22.279439252377884,-0.304276216961924,0,0,1,-0.0,0.0,44.81780624389648,109.52893829345705
2019-08-21,-22.585347389864467,-0.34708395521092694,1,1,0,-1.0,1.0,45.00079345703125,109.76119232177734
2019-08-22,-23.274026214478454,-0.5318283126658921,0,0,1,-0.0,0.0,45.32520294189453,110.02659606933594
2019-08-23,-23.42155439336014,-0.5351504069102695,1,1,0,-1.0,1.0,44.70135498046875,108.04434204101562
2019-08-26,-22.500613401848028,-0.11214398507872855,0,0,1,-0.0,0.0,45.366798400878906,110.9223403930664
2019-08-27,-22.095002583376242,0.15321510349560566,1,1,0,-1.0,1.0,45.51652526855469,111.76829528808594
2019-08-28,-22.692445518622733,-0.053240826938758715,0,0,1,-0.0,0.0,45.8409309387207,112.12492370605467
2019-08-29,-21.857173389111736,0.5587096397029286,1,1,0,-1.0,1.0,45.7910041809082,112.81336212158205
2019-08-30,-21.243909459445007,1.2132771655685988,0,0,1,-0.0,0.0,45.78269577026367,113.40219116210938
2019-09-03,-21.274484688692326,1.9709032473857668,1,1,0,-1.0,1.0,45.99896240234375,114.00765228271484
2019-09-04,-21.022586720619827,2.0662873605258456,0,0,1,-0.0,0.0,46.38991928100586,115.40934753417967
2019-09-05,-21.282264318894903,1.6645559770152754,1,1,0,-1.0,1.0,45.849239349365234,113.55953979492188
2019-09-06,-20.390549852304673,2.3083397856930157,0,0,1,-0.0,0.0,45.94073867797851,114.72035217285156
2019-09-09,-19.46372671335274,2.707099454726347,1,1,0,-1.0,1.0,45.35016250610352,113.9103012084961
2019-09-10,-19.62110728899755,2.2439580795558167,0,0,1,-0.0,0.0,45.25033950805664,113.45934295654295
2019-09-11,-20.10873774298733,1.6924131231937822,1,1,0,-1.0,1.0,45.55811309814453,113.87686920166016
2019-09-12,-20.163804771552407,1.5211607169547376,0,0,1,-0.0,0.0,45.8409309387207,114.653564453125
2019-09-13,-19.764743494772034,1.673639005312807,1,1,0,-1.0,1.0,45.46387481689453,113.94371032714844
2019-09-16,-20.328258080014905,1.2150612994213896,0,0,1,-0.0,0.0,45.21250534057617,112.64092254638672
2019-09-17,-20.333451241328248,1.1312646076241348,1,1,0,-1.0,1.0,45.447113037109375,113.3257064819336
2019-09-18,-20.475840705597278,0.971486066070198,0,0,1,-0.0,0.0,45.43873977661133,113.15869140625
2019-09-19,-21.207193074162106,0.44227352329041364,1,1,0,-1.0,1.0,45.681732177734375,113.14197540283205
2019-09-20,-20.346989196368682,0.9646454432800012,0,0,1,-0.0,0.0,45.17060470581055,112.49896240234376
2019-09-23,-20.304174219701522,0.9370033201666893,1,1,0,-1.0,1.0,45.36333084106445,113.10858154296876
2019-09-24,-20.765240977038147,0.5567648140432323,0,0,1,-0.0,0.0,45.49739456176758,113.0417938232422
2019-09-25,-20.670352006789372,0.5779696301031599,1,1,0,-1.0,1.0,45.38845443725586,112.81629180908205
2019-09-26,-20.686359047065366,0.5231578510662789,0,0,1,-0.0,0.0,45.57278823852539,113.3424072265625
2019-09-27,-20.589465282300395,0.5466207793766095,1,1,0,-1.0,1.0,45.505767822265625,113.24219512939452
2019-09-30,-19.657106545384096,1.2346873632332862,0,0,1,-0.0,0.0,45.61469650268555,114.49491119384766
2019-10-01,-19.949139974807338,0.9596723143425082,1,1,0,-1.0,1.0,45.7906494140625,114.72035217285156
2019-10-02,-18.944794799282093,1.711890412455159,0,0,1,-0.0,0.0,44.47517013549805,111.85589599609376
2019-10-03,-17.485452549365988,2.5819200580903607,1,1,0,-1.0,1.0,45.11195755004883,115.18801879882812
2019-10-04,-17.247891745721745,2.492830157030399,0,0,1,-0.0,0.0,45.69847869873047,117.15052795410156
2019-10-07,-17.216986331497452,2.328619386514458,1,1,0,-1.0,1.0,45.137088775634766,115.5303955078125
2019-10-08,-17.420977983574232,1.99495559001195,0,0,1,-0.0,0.0,44.89410781860352,114.61180114746094
2019-10-09,-17.5275958093261,1.7669198122002088,1,1,0,-1.0,1.0,45.10358047485352,115.1212387084961
2019-10-10,-17.075313009496085,1.9516177012615687,0,0,1,-0.0,0.0,44.96113586425781,115.15459442138672
2019-10-11,-16.39697028507797,2.184173490033401,1,1,0,-1.0,1.0,44.65950775146485,114.94585418701172
2019-10-14,-16.55566169132797,1.882849301469641,0,0,1,-0.0,0.0,44.65950775146485,114.78716278076172
2019-10-15,-18.0084505033563,0.8851239945346538,1,1,0,-1.0,1.0,44.83545684814453,113.85183715820312
2019-10-16,-17.884023716916772,0.9038007715114215,0,0,1,-0.0,0.0,44.81869888305664,113.9269790649414
2019-10-17,-18.17230455334152,0.6627877098432702,1,1,0,-1.0,1.0,45.070064544677734,114.37796020507812
2019-10-18,-21.20483414386014,-1.3293925689808044,0,0,1,-0.0,0.0,45.89958190917969,113.78502655029295
2019-10-21,-19.95808710452306,-0.4957166583126658,1,1,0,-1.0,1.0,45.43873977661133,113.67644500732422
2019-10-22,-18.570655553358677,0.39087452078492013,0,0,1,-0.0,0.0,45.120330810546875,114.12744140625
2019-10-23,-19.857670098610498,-0.4590714739585329,1,1,0,-1.0,1.0,45.782264709472656,114.78716278076172
2019-10-24,-19.41633918582704,-0.18680490597264632,0,0,1,-0.0,0.0,45.757137298583984,115.15459442138672
2019-10-25,-18.34095837722772,0.4928792337558858,1,1,0,-1.0,1.0,45.03654479980469,114.11072540283205
2019-10-28,-17.955896206913195,0.6975059745631402,0,0,1,-0.0,0.0,44.8857307434082,114.05224609375
2019-10-29,-17.970774418888425,0.6396337813292986,1,1,0,-1.0,1.0,44.75165939331055,113.64306640625
2019-10-30,-18.592049444735224,0.18636967880051583,0,0,1,-0.0,0.0,45.195743560791016,114.3278350830078
2019-10-31,-19.574059070480928,-0.5411036319156363,1,1,0,-1.0,1.0,45.606319427490234,114.5533218383789
2019-11-01,-18.468481298747747,0.2032242304548021,0,0,1,-0.0,0.0,45.16223907470703,114.35286712646484
2019-11-04,-18.073741109712316,0.44402987472989425,1,1,0,-1.0,1.0,44.52542495727539,112.87474822998048
2019-11-05,-17.25994138807394,0.9852139565856726,0,0,1,-0.0,0.0,43.92215347290039,111.91433715820312
2019-11-06,-17.837238501811868,0.4965044937560693,1,1,0,-1.0,1.0,44.24055480957031,112.27345275878906
2019-11-07,-17.515771194326163,0.701786548343957,0,0,1,-0.0,0.0,43.81322479248047,111.33815002441406
